,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
10,Existing Customer,42.0,M,5.0,Uneducated,Unknown,$120K +,Blue,31.0,5.0,3.0,2.0,6748.0,1467.0,0.831,1201.0,42.0,0.68,0.217
14,Existing Customer,57.0,F,2.0,Graduate,Married,Less than $40K,Blue,48.0,5.0,2.0,2.0,2436.0,680.0,1.19,1570.0,29.0,0.611,0.27899999999999997
19,Existing Customer,45.0,F,2.0,Graduate,Married,Unknown,Blue,37.0,6.0,1.0,2.0,14470.0,1157.0,0.966,1207.0,21.0,0.909,0.08
21,Attrited Customer,62.0,F,0.0,Graduate,Married,Less than $40K,Blue,49.0,2.0,3.0,3.0,1438.3,0.0,1.047,692.0,16.0,0.6,0.0
23,Existing Customer,47.0,F,4.0,Unknown,Single,Less than $40K,Blue,36.0,3.0,3.0,2.0,2492.0,1560.0,0.573,1126.0,23.0,0.353,0.626
24,Existing Customer,54.0,M,2.0,Unknown,Married,$80K - $120K,Blue,42.0,4.0,2.0,3.0,12217.0,0.0,1.075,1110.0,21.0,0.75,0.0
25,Existing Customer,41.0,F,3.0,Graduate,Single,Less than $40K,Blue,28.0,6.0,1.0,2.0,7768.0,1669.0,0.797,1051.0,22.0,0.833,0.215
34,Existing Customer,58.0,M,0.0,Graduate,Married,$80K - $120K,Blue,49.0,6.0,2.0,2.0,12555.0,1696.0,0.519,1291.0,24.0,0.7140000000000001,0.135
35,Existing Customer,55.0,F,1.0,College,Single,Less than $40K,Blue,36.0,4.0,2.0,1.0,3520.0,1914.0,0.51,1407.0,43.0,0.483,0.544
44,Existing Customer,38.0,F,4.0,Graduate,Single,Unknown,Blue,28.0,2.0,3.0,3.0,9830.0,2055.0,0.977,1042.0,23.0,0.917,0.209
48,Existing Customer,46.0,M,3.0,High School,Married,$80K - $120K,Blue,40.0,4.0,3.0,3.0,19458.0,1435.0,0.787,1217.0,27.0,0.8,0.07400000000000001
49,Existing Customer,52.0,M,1.0,College,Single,$80K - $120K,Blue,40.0,5.0,1.0,1.0,4745.0,1227.0,0.624,1140.0,40.0,0.6,0.259
51,Attrited Customer,54.0,F,1.0,Graduate,Married,Less than $40K,Blue,40.0,2.0,3.0,1.0,1438.3,808.0,0.997,705.0,19.0,0.9,0.562
54,Attrited Customer,56.0,M,2.0,Graduate,Married,$120K +,Blue,36.0,1.0,3.0,3.0,15769.0,0.0,1.041,602.0,15.0,0.364,0.0
55,Existing Customer,49.0,F,4.0,Graduate,Unknown,Less than $40K,Blue,36.0,6.0,4.0,2.0,3298.0,2200.0,0.6779999999999999,1052.0,32.0,0.6,0.667
60,Existing Customer,55.0,M,3.0,Unknown,Married,$80K - $120K,Blue,47.0,4.0,2.0,3.0,3436.0,2016.0,0.9009999999999999,1097.0,33.0,0.833,0.5870000000000001
62,Existing Customer,39.0,M,1.0,High School,Divorced,$60K - $80K,Blue,33.0,5.0,3.0,3.0,5926.0,1251.0,0.9440000000000001,1316.0,28.0,1.1540000000000001,0.21100000000000002
64,Existing Customer,53.0,M,2.0,High School,Single,$120K +,Blue,44.0,4.0,2.0,2.0,14734.0,1634.0,0.9890000000000001,1289.0,23.0,0.917,0.111
66,Existing Customer,57.0,M,2.0,College,Married,$60K - $80K,Blue,52.0,5.0,3.0,3.0,6584.0,1817.0,0.62,1353.0,35.0,0.667,0.276
67,Existing Customer,44.0,F,2.0,Uneducated,Single,Less than $40K,Blue,20.0,6.0,3.0,3.0,2084.0,1468.0,1.004,1132.0,28.0,0.556,0.7040000000000001
71,Existing Customer,55.0,F,2.0,Graduate,Married,Less than $40K,Blue,42.0,5.0,3.0,3.0,2216.0,1034.0,0.758,1540.0,36.0,0.28600000000000003,0.467
72,Existing Customer,54.0,M,1.0,Graduate,Unknown,$60K - $80K,Blue,43.0,4.0,2.0,3.0,2910.0,2030.0,0.769,1256.0,21.0,0.4,0.698
73,Existing Customer,42.0,M,5.0,Uneducated,Married,$80K - $120K,Blue,37.0,6.0,2.0,2.0,22913.0,1528.0,0.414,1394.0,35.0,0.522,0.067
75,Existing Customer,53.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,5.0,3.0,2.0,5272.0,1515.0,0.857,1289.0,33.0,0.435,0.287
77,Existing Customer,37.0,F,3.0,Uneducated,Single,Less than $40K,Blue,29.0,4.0,4.0,2.0,7038.0,1801.0,0.7509999999999999,2339.0,57.0,0.966,0.256
78,Existing Customer,49.0,M,3.0,Graduate,Divorced,$60K - $80K,Blue,30.0,6.0,1.0,2.0,2536.0,1823.0,0.703,1468.0,23.0,0.353,0.7190000000000001
82,Attrited Customer,55.0,F,4.0,Unknown,Married,$40K - $60K,Blue,45.0,2.0,4.0,3.0,2158.0,0.0,0.585,615.0,12.0,0.7140000000000001,0.0
83,Existing Customer,59.0,F,1.0,Graduate,Married,Unknown,Blue,52.0,2.0,3.0,3.0,10133.0,1417.0,0.38299999999999995,1068.0,20.0,0.818,0.14
86,Existing Customer,53.0,M,2.0,High School,Single,$120K +,Blue,35.0,4.0,2.0,1.0,19040.0,2056.0,0.607,1212.0,31.0,0.722,0.10800000000000001
87,Existing Customer,43.0,F,3.0,Uneducated,Single,Less than $40K,Blue,35.0,5.0,2.0,3.0,4026.0,0.0,0.483,1237.0,32.0,0.6,0.0
92,Existing Customer,45.0,M,1.0,Graduate,Single,$40K - $60K,Blue,36.0,4.0,4.0,3.0,6576.0,0.0,0.579,1465.0,34.0,0.619,0.0
93,Existing Customer,53.0,M,0.0,Graduate,Single,$80K - $120K,Blue,42.0,5.0,4.0,1.0,2664.0,2037.0,0.85,1286.0,29.0,0.9329999999999999,0.765
96,Existing Customer,45.0,M,3.0,Graduate,Married,$40K - $60K,Blue,35.0,5.0,4.0,2.0,3454.0,1200.0,0.597,1313.0,30.0,0.304,0.34700000000000003
97,Existing Customer,53.0,M,3.0,Doctorate,Married,$40K - $60K,Blue,35.0,5.0,3.0,2.0,3789.0,1706.0,1.047,1609.0,42.0,0.68,0.45
99,Attrited Customer,47.0,M,2.0,Unknown,Married,$80K - $120K,Blue,37.0,2.0,3.0,3.0,5449.0,1628.0,0.696,836.0,18.0,0.385,0.299
102,Existing Customer,53.0,M,3.0,Graduate,Married,$120K +,Blue,34.0,6.0,2.0,2.0,2940.0,1264.0,0.562,1259.0,33.0,0.5,0.43
105,Existing Customer,43.0,F,4.0,Post-Graduate,Married,Less than $40K,Blue,33.0,2.0,3.0,3.0,8358.0,926.0,0.762,1566.0,37.0,0.542,0.111
112,Existing Customer,42.0,M,4.0,High School,Divorced,$60K - $80K,Blue,36.0,5.0,1.0,2.0,3263.0,1674.0,0.588,1251.0,35.0,0.34600000000000003,0.513
119,Existing Customer,53.0,F,2.0,High School,Married,Less than $40K,Blue,44.0,3.0,2.0,3.0,5362.0,1901.0,0.816,1553.0,38.0,1.0,0.355
123,Existing Customer,47.0,F,3.0,High School,Single,$40K - $60K,Blue,41.0,4.0,3.0,3.0,3788.0,1540.0,0.5660000000000001,1594.0,47.0,0.382,0.40700000000000003
125,Existing Customer,47.0,M,3.0,Graduate,Single,$60K - $80K,Blue,36.0,4.0,2.0,2.0,2926.0,0.0,0.6759999999999999,1304.0,24.0,0.846,0.0
127,Attrited Customer,53.0,M,2.0,Graduate,Married,$80K - $120K,Blue,41.0,3.0,3.0,2.0,11669.0,2227.0,0.622,720.0,23.0,0.353,0.191
129,Existing Customer,50.0,F,1.0,Uneducated,Unknown,Less than $40K,Silver,36.0,4.0,2.0,2.0,11888.0,2090.0,0.7,1137.0,30.0,0.765,0.17600000000000002
130,Existing Customer,42.0,F,1.0,Graduate,Married,Less than $40K,Blue,36.0,5.0,1.0,2.0,2393.0,1985.0,0.7879999999999999,978.0,16.0,0.778,0.83
134,Existing Customer,47.0,M,2.0,Doctorate,Single,Less than $40K,Blue,37.0,2.0,1.0,3.0,3235.0,797.0,0.541,1493.0,32.0,1.0,0.24600000000000002
136,Existing Customer,53.0,M,2.0,High School,Divorced,$60K - $80K,Blue,36.0,5.0,3.0,2.0,7753.0,2100.0,0.8390000000000001,991.0,26.0,0.733,0.271
139,Existing Customer,39.0,F,2.0,Post-Graduate,Single,Less than $40K,Blue,27.0,4.0,2.0,2.0,6205.0,2517.0,0.9390000000000001,1204.0,19.0,0.727,0.406
140,Attrited Customer,48.0,F,5.0,High School,Married,Less than $40K,Blue,38.0,1.0,3.0,3.0,8025.0,0.0,0.654,673.0,18.0,0.8,0.0
141,Existing Customer,51.0,M,1.0,Unknown,Single,$120K +,Blue,42.0,6.0,2.0,3.0,9036.0,2327.0,0.649,1131.0,18.0,0.636,0.258
143,Existing Customer,59.0,F,1.0,Graduate,Single,Less than $40K,Blue,36.0,3.0,2.0,3.0,6335.0,1128.0,0.397,1217.0,20.0,0.667,0.17800000000000002
144,Attrited Customer,59.0,M,1.0,College,Single,$60K - $80K,Blue,53.0,2.0,3.0,3.0,14979.0,0.0,0.71,530.0,10.0,1.0,0.0
145,Attrited Customer,48.0,F,4.0,Uneducated,Married,Less than $40K,Blue,38.0,3.0,2.0,3.0,2732.0,0.0,0.76,739.0,16.0,0.455,0.0
149,Existing Customer,41.0,M,2.0,High School,Married,$80K - $120K,Blue,24.0,4.0,1.0,3.0,9366.0,1104.0,0.5720000000000001,1303.0,39.0,0.625,0.11800000000000001
152,Existing Customer,50.0,F,1.0,Graduate,Single,$40K - $60K,Silver,31.0,2.0,2.0,3.0,18386.0,0.0,0.868,1298.0,22.0,0.5710000000000001,0.0
155,Existing Customer,42.0,F,5.0,Unknown,Married,$40K - $60K,Blue,36.0,3.0,3.0,3.0,2038.0,0.0,0.7859999999999999,1238.0,28.0,0.75,0.0
